Country,Player Name,Gold,Silver,Bronze,Total Medals
USA,HUSKE Torri,3,2,0,5
CAN,McINTOSH Summer,3,1,0,4
FRA,MARCHAND Leon,4,0,1,5
USA,SMITH Regan,2,3,0,5
AUS,O'CALLAGHAN Mollie,3,1,1,5
AUS,McKEOWN Kaylee,2,1,2,5
CHN,ZHANG Yufei,0,1,5,6
JPN,OKA Shinnosuke,3,0,1,4
USA,WALSH Gretchen,2,2,0,4
USA,BILES Simone,3,1,0,4
USA,DOUGLASS Kate,2,2,0,4
AUS,TITMUS Ariarne,2,2,0,4
USA,LEDECKY Katie,2,1,1,4
BRA,ANDRADE Rebeca,1,2,1,4
NED,LAVREYSEN Harrie,3,0,0,3
USA,THOMAS Gabrielle,3,0,0,3
KOR,LIM Sihyeon,3,0,0,3
NZL,CARRINGTON Lisa,3,0,0,3
CHN,YANG Junxuan,0,1,3,4
KOR,KIM Woojin,3,0,0,3
CHN,ZOU Jingyuan,1,2,0,3
USA,DRESSEL Caeleb,2,1,0,3
USA,FINK Nic,1,2,0,3
CHN,XU Jiayu,1,2,0,3
AUS,HARRIS Meg,1,2,0,3
NZL,ANDREWS Ellesse,2,1,0,3
CHN,PAN Zhanle,2,1,0,3
CHN,SUN Yingsha,2,1,0,3
NED,BOL Femke,1,1,1,3
NED,HASSAN Sifan,1,0,2,3
USA,MURPHY Ryan,1,1,1,3
GBR,FINUCANE Emma,1,0,2,3
AUS,McKEON Emma,1,1,1,3
AUS,RICHARDSON Matthew,0,2,1,3
HUN,CSIPES Tamara,0,2,1,3
AUS,JACK Shayna,2,0,0,2
AUS,FOX Jessica,2,0,0,2
CHN,ZHANG Boheng,0,2,1,3
CHN,TANG Qianting,0,2,1,3
USA,LEE Sunisa,1,0,2,3
AUS,CHALMERS Kyle,0,2,1,3
CHN,CHEN Yiwen,2,0,0,2
CHN,CHEN Meng,2,0,0,2
CHN,FAN Zhendong,2,0,0,2
BEL,EVENEPOEL Remco,2,0,0,2
CHN,QUAN Hongchan,2,0,0,2
CHN,WANG Chuqin,2,0,0,2
GER,LEMKE Max,2,0,0,2
GER,von BREDOW-WERNDL Jessica,2,0,0,2
CHN,WANG Liuyi,2,0,0,2
CHN,SHENG Lihao,2,0,0,2
FRA,RINER Teddy,2,0,0,2
GER,SCHOPF Jacob,2,0,0,2
CHN,WANG Qianyi,2,0,0,2
KEN,CHEBET Beatrice,2,0,0,2
USA,BENJAMIN Rai,2,0,0,2
NZL,HOSKIN Alicia,2,0,0,2
KOR,OH Sanguk,2,0,0,2
SWE,SJOESTROEM Sarah,2,0,0,2
PHI,YULO Carlos Edriel,2,0,0,2
CHN,HUANG Yuting,1,1,0,2
USA,KIEFER Lee,2,0,0,2
BOT,TEBOGO Letsile,1,1,0,2
USA,McLAUGHLIN-LEVRONE Sydney,2,0,0,2
USA,VALENTE Jennifer,2,0,0,2
USA,FAULKNER Kristen,2,0,0,2
CHN,CHEN Yuxi,1,1,0,2
ESP,PEREZ Maria,1,1,0,2
CHN,QIN Haiyang,1,1,0,2
CHN,WANG Zongyuan,1,1,0,2
FRA,MKHEIDZE Luka,1,1,0,2
ECU,PINTADO Brian Daniel,1,1,0,2
FRA,GABA Joan-Benjamin,1,1,0,2
CHN,LIU Yang,1,1,0,2
HUN,MILAK Kristof,1,1,0,2
GBR,RICHARDS Matthew,1,1,0,2
GER,WERTH Isabell,1,1,0,2
JPN,ABE Hifumi,1,1,0,2
ITA,D'AMATO Alice,1,1,0,2
GBR,SCOTT Duncan,1,1,0,2
KEN,KIPYEGON Faith,1,1,0,2
JPN,TSUNODA Natsumi,1,1,0,2
JPN,NAGASE Takanori,1,1,0,2
KOR,NAM Suhyeon,1,1,0,2
JPN,KANO Koki,1,1,0,2
LCA,ALFRED Julien,1,1,0,2
NED,KLAVER Lieke,1,1,0,2
ROU,RADIS Simona,1,1,0,2
ROU,ANGHEL Roxana,1,1,0,2
NED,PEETERS Cathelijn,1,1,0,2
ROU,BODNAR Ancuta,1,1,0,2
POR,LEITAO Iuri,1,1,0,2
USA,GUILIANO Chris,1,1,0,2
USA,ARMSTRONG Hunter,1,1,0,2
USA,BROWN Kaylyn,1,1,0,2
ROU,VRINCEANU Ioana,1,1,0,2
USA,ALEXY Jack,1,1,0,2
RSA,SMITH Tatjana,1,1,0,2
USA,DEADMON Bryce,1,1,0,2
USA,FINKE Bobby,1,1,0,2
USA,SHACKELL Alex,1,1,0,2
USA,RICHARDSON Sha'carri,1,1,0,2
USA,NORWOOD Vernon,1,1,0,2
USA,SCRUGGS Lauren,1,1,0,2
USA,WEITZEIL Abbey,1,1,0,2
USA,LITTLE Shamier,1,1,0,2
USA,SWANSON Charlie,1,1,0,2
USA,HANCOCK Vincent,1,1,0,2
CHN,CHANG Yani,1,0,1,2
FRA,BUCHARD Amandine,1,0,1,2
FRA,AGBEGNENOU Clarisse,1,0,1,2
CAN,VINCENT Katie,1,0,1,2
FRA,BOUKLI Shirine,1,0,1,2
BRA,SOUZA Beatriz,1,0,1,2
ESP,MARTIN Alvaro,1,0,1,2
FRA,CYSIQUE Sarah Leonie,1,0,1,2
GBR,COLLETT Laura,1,0,1,2
FRA,DICKO Romane,1,0,1,2
KOR,LEE Wooseok,1,0,1,2
IRL,WIFFEN Daniel,1,0,1,2
GBR,YEE Alex,1,0,1,2
ITA,CECCON Thomas,1,0,1,2
FRA,NGAYAP HAMBOU Maxime-Gael,1,0,1,2
USA,BERKOFF Katharine,1,0,1,2
USA,LYLES Noah,1,0,1,2
ROU,POPOVICI David,1,0,1,2
USA,CAREY Jade,1,0,1,2
USA,DYGERT Chloe,1,0,1,2
UKR,KHARLAN Olga,1,0,1,2
USA,JEFFERSON Melissa,1,0,1,2
AUS,STUBBLETY-COOK Zac,0,1,1,2
FRA,MALLO-BRETON Auriane,0,2,0,2
AUS,SOUTHAM Flynn,0,1,1,2
JPN,MURAO Sanshiro,0,2,0,2
USA,MANUEL Simone,0,2,0,2
AUS,ANDERSON Iona,0,1,1,2
ITA,MACCHI Filippo,0,2,0,2
SWE,MOREGARD Truls,0,2,0,2
AUS,TAYLOR Kai,0,1,1,2
CHN,XIAO Ruoteng,0,1,1,2
GBR,HUDSON-SMITH Matthew,0,1,1,2
GBR,CARLIN Jack,0,1,1,2
GBR,BARKER Elinor,0,1,1,2
BRA,LIMA Willian,0,1,1,2
AUS,WINNINGTON Elijah,0,1,1,2
ITA,CONSONNI Simone,0,1,1,2
GER,HAKE Jule Marie,0,1,1,2
GER,PASZEK Paulina,0,1,1,2
GER,FRIEDRICH Lea,0,1,1,2
HUN,GAZSO Alida Dora,0,1,1,2
GBR,WILLIAMS Noah,0,1,1,2
ITA,ESPOSITO Manila,0,1,1,2
ITA,GANNA Filippo,0,1,1,2
JPN,HAYATA Hina,0,1,1,2
JPN,NAGAYAMA Ryuju,0,1,1,2
MEX,OLVERA IBARRA Osmar,0,1,1,2
KOR,KIM Minjong,0,1,1,2
KOR,HUH Mimi,0,1,1,2
ITA,PALTRINIERI Gregorio,0,1,1,2
JPN,HASHIMOTO Soichi,0,1,1,2
JPN,FUNAKUBO Haruka,0,1,1,2
USA,FOSTER Carson,0,1,1,2
USA,ELLISON Brady,0,1,1,2
NZL,WOLLASTON Ally,0,1,1,2
USA,MADDEN Paige,0,1,1,2
USA,SMITH Austen Jewell,0,1,1,2
USA,HOBSON Luke,0,1,1,2
PRK,KIM Mi Rae,0,1,1,2
FRA,MANAUDOU Florent,0,0,2,2
CHN,WU Qingfeng,0,0,2,2
FRA,LEBRUN Felix,0,0,2,2
CHN,YU Yiting,0,0,2,2
